family_combined,name,cost_unit,qtt,cost,description,creation_date,modification_date,billed_person_id,customer_name
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,,2025-06-02 09:49:09,2025-06-02 09:49:09,1041283,ACCUEIL ET PROMOTION SAMBRE - Site La Longueville
8 - Various,Remise Parc supérieur à 10 lignes -5% sur les abonnements,-2.7,1.0,-2.7,,2025-06-03 13:00:49,2025-06-03 13:00:49,1386396,ACTIONS
1 - Licenses and options,Licence Agent Call Center,50.0,15.0,750.0,,2025-06-10 16:41:29,2025-07-03 10:34:51,1068154,ARBS - Call Center
1 - Licenses and options,Licence Téléphonie Call Center,12.0,17.0,204.0,,2025-06-10 16:41:29,2025-07-01 10:21:38,1068154,ARBS - Call Center
3 - Access links,Fibre Mutualisée avec Backup 4G,59.0,1.0,59.0,,2025-06-23 10:48:11,2025-06-23 10:48:11,1747849,AUDIT ENERGIE TRANSFERT SERVICE INDUSTRIE
1 - Licenses and options,Application Fax 2 Mail / Mail 2 Fax,7.0,1.0,7.0,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
1 - Licenses and options,Licence utilisateur - Illimité F/M France et 70 destinations,15.0,8.0,120.0,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
4 - Numbers and portabilities,Numéro direct - SDA supplémentaire,0.7,9.0,6.3,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,10.0,1.0,10.0,,2025-06-02 15:34:00,2025-06-02 15:34:00,570682,CABINET MEDICAL DU VERMANDOIS
7 - Mobile,Business Smartphone 5 Go,16.0,2.0,32.0,,2025-07-03 11:48:58,2025-07-03 11:48:58,1225829,CAMBRAI CHARPENTES
1 - Licenses and options,Hébergement Coeur de Système Contact Expérience,99.0,1.0,99.0,,2025-06-30 10:16:17,2025-06-30 10:16:17,517498,COMMUNE DE MAROEUIL
3 - Access links,Abonnement Fibre FTTH + Routeur - Site Salle des 3 Rivières,79.0,1.0,79.0,,2025-06-30 11:01:55,2025-06-30 11:01:55,517498,COMMUNE DE MAROEUIL
1 - Licenses and options,Numéro Direct - SDA,0.8,1.0,0.8,,2025-06-13 16:16:22,2025-06-13 16:16:22,821745,EAUTEX SARL
8 - Various,Remise > 20 lignes,-10.2,1.0,-10.2,,2025-06-13 16:14:24,2025-06-13 16:14:24,621996,EMPLOI ET HANDICAP GRAND LILLE
3 - Access links,Accès Internet - Fibre Mutualisée FTTH - 1 Gbps Max,59.0,1.0,59.0,,2025-07-01 09:22:47,2025-07-01 09:22:47,1371747,FRACHT FRANCE Dunkerque
6 - Hardware,Routeur Internet - Supervision - Compatible VRRP,5.0,1.0,5.0,,2025-07-01 09:22:47,2025-07-01 09:22:47,1371747,FRACHT FRANCE Dunkerque
8 - Various,Remise Parc > 20 lignes,-12.0,1.0,-12.0,,2025-06-13 15:20:16,2025-06-13 15:20:16,623320,GRPT EMPLOY INSERTION QUALIF EMPLOI HAND
7 - Mobile,Business Smartphone 20 Go,16.9,2.0,33.8,,2025-07-31 09:57:25,2025-07-31 09:57:25,909587,HOMZA
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,,2025-07-29 16:23:32,2025-07-29 16:23:32,1627524,KVDS
7 - Mobile,Business Smartphone 50 Go,35.0,2.0,70.0,,2025-07-29 16:23:32,2025-07-29 16:23:32,1627524,KVDS
8 - Various,Remise N'CO SERVICES,-5.0,1.0,-5.0,,2025-06-13 14:36:21,2025-06-13 14:36:21,540406,LA MAISON DU CHAUFFAGE
8 - Various,Remise Parc supérieur à 10 lignes -5 % sur les abonnements,-1.25,1.0,-1.25,,2025-06-03 13:03:48,2025-06-03 13:03:48,1386372,LS INVEST
1 - Licenses and options,Hébergement Coeur de système Standard téléphonique,25.0,1.0,25.0,,2025-06-19 08:58:12,2025-06-19 08:58:12,1601199,MR ABRAHAM THIBAULT
8 - Various,Avantage client,-1.25,1.0,-1.25,,2025-06-10 15:55:47,2025-06-10 15:55:47,1602166,Mr GHESQUIER VINCENT
3 - Access links,Cloud Firewall - VPN - Coeur de réseau MPLS,34.0,1.0,34.0,,2025-06-05 16:35:11,2025-06-05 16:35:11,314731,NORD MED
3 - Access links,Accès Internet Mobile 5 Go,14.0,1.0,14.0,,2025-06-05 16:32:52,2025-07-28 15:28:36,831966,OFFICE DE TOURISME DE LA METROPOLE EUROPEENNE DE LILLE
8 - Various,Remis Parc supérieur à 10 lignes -5% sur les abonnements,-3.0,1.0,-3.0,,2025-06-03 13:04:41,2025-06-03 13:04:41,1382979,PIC TRANSACTIONS ET ASSOCIES
8 - Various,Remise N'co Services,-10.0,1.0,-10.0,,2025-06-05 16:23:51,2025-06-05 16:23:51,333438,PLOUVIER GUY
3 - Access links,Cloud Firewall - VPN - Coeur de réseau MPLS,35.0,1.0,35.0,,2025-06-23 11:35:00,2025-06-23 11:35:00,1641929,PPARCHI
8 - Various,Avantage Multi-offre -7.50 %,-1.94,1.0,-1.94,,2025-06-03 13:06:25,2025-06-03 13:06:25,1329322,S2A
8 - Various,Remise Parc supérieur à 10 lignes -5% sur les abonnements,-1.25,4.0,-5.0,,2025-06-03 13:06:25,2025-06-03 13:06:25,1329322,S2A
7 - Mobile,07 50 59 69 16 - Business Smartphone 20 Go,18.0,1.0,18.0,,2025-06-12 15:17:38,2025-06-12 15:17:38,971584,SADAPS CORPORATION
3 - Access links,Pool de 8 adresses IP supplémentaires,24.0,1.0,24.0,,2025-06-03 13:48:23,2025-06-03 13:48:23,388502,SATO FRANCE
3 - Access links,Accès Internet Mobile 20 Go,20.0,1.0,20.0,,2025-06-03 13:44:43,2025-06-03 13:44:43,508714,SCALAIR
8 - Various,Avantage Parc 100 lignes,-52.0,1.0,-52.0,,2025-06-03 13:45:09,2025-06-30 11:52:11,508714,SCALAIR
4 - Numbers and portabilities,Numéro Direct - SDA,0.8,1.0,0.8,,2025-06-03 13:37:16,2025-06-03 13:37:16,1188787,SCM MODF
3 - Access links,Accès Internet Mobile 1 Go,9.0,1.0,9.0,Galet 4G,2025-06-03 13:28:29,2025-06-03 13:28:29,998413,SIVU POUR LA QUALITE DE LA VIE DES PERSONNES
8 - Various,Avantage client,-1.2,19.0,-22.8,,2025-07-28 11:02:48,2025-07-28 11:02:48,998413,SIVU POUR LA QUALITE DE LA VIE DES PERSONNES
1 - Licenses and options,Hébergement Coeur de système - Téléphonie IP,25.0,1.0,25.0,,2025-07-28 11:21:27,2025-07-28 11:21:27,692023,SORRIAUX TP
1 - Licenses and options,Licence Téléphonie Hébergée,12.5,7.0,87.5,,2025-07-28 11:21:27,2025-07-28 11:21:27,692023,SORRIAUX TP
3 - Access links,Accès Internet - Fibre Dédiée FTTO 100 Mbps,280.0,1.0,280.0,,2025-06-30 10:48:43,2025-06-30 10:48:43,692023,SORRIAUX TP
3 - Access links,Accès Internet - Lien backup 4G,39.0,1.0,39.0,,2025-06-30 10:48:43,2025-06-30 10:48:43,692023,SORRIAUX TP
4 - Numbers and portabilities,Selection Directe à l'arrivée - SDA,0.6,7.0,4.2,,2025-07-28 11:21:27,2025-07-28 11:21:27,692023,SORRIAUX TP
6 - Hardware,Location Routeur - FTTO - Supervision - Compatible VRRP,25.0,1.0,25.0,SDWAN,2025-06-30 10:48:43,2025-06-30 10:48:43,692023,SORRIAUX TP
8 - Various,Remise ambassadeur,-32.8,1.0,-32.8,,2025-06-03 13:15:49,2025-06-24 16:16:46,692023,SORRIAUX TP
8 - Various,Avantage Multi-offre,-3.83,1.0,-3.83,,2025-06-03 13:08:24,2025-06-03 13:08:24,1382900,STRATEGE PLUS CONSTRUCTION
8 - Various,Remise Parc supérieur à 10 lignes -5 % sur les abonnements,-5.25,1.0,-5.25,,2025-06-03 13:08:24,2025-06-03 13:08:24,1382900,STRATEGE PLUS CONSTRUCTION
3 - Access links,Pool de 8 adresses IP supplémentaires,24.0,1.0,24.0,,2025-06-03 13:13:24,2025-06-03 13:13:24,1328108,STRATEGE PLUS ET ASSOCIES
8 - Various,Avantage Multi-offre 7.5%,-1.94,1.0,-1.94,,2025-06-03 13:12:37,2025-06-03 13:14:13,1328108,STRATEGE PLUS ET ASSOCIES
8 - Various,Remise Parc supérieur à 10 lignes -5 % sur les abonnements,-1.25,3.0,-3.75,,2025-06-03 13:12:37,2025-06-03 13:14:13,1328108,STRATEGE PLUS ET ASSOCIES
3 - Access links,Accès Internet Mobile 4G 100 Go,39.0,1.0,39.0,4G Lesquin,2025-07-03 11:02:36,2025-07-03 11:04:26,369627,THEYS INVESTISSEMENTS (site principal)
8 - Various,Location Routeur Château,10.0,1.0,10.0,4G Lesquin,2025-07-03 11:06:11,2025-07-03 11:06:11,369627,THEYS INVESTISSEMENTS (site principal)
3 - Access links,Backup Internet Mobile + Location routeur,19.0,1.0,19.0,,2025-07-29 13:39:04,2025-07-29 13:39:04,631590,TRANSPORTS MARCHAND
3 - Access links,Pool de 4 adresses IP supplémentaires,16.0,1.0,16.0,Pour Firewall,2025-06-03 11:37:33,2025-06-03 11:37:33,631590,TRANSPORTS MARCHAND
1 - Licenses and options,Licence Utilisateur - 4 communications simultanées Illimité F/M France et 70 destinations,12.0,8.0,96.0,,2025-06-02 16:47:46,2025-06-02 16:47:46,477149,TRANSPORTS MILLEVILLE
1 - Licenses and options,Softphone DOKO - Application Mobile et PC,0.0,8.0,0.0,,2025-06-02 16:46:41,2025-06-02 16:51:33,477149,TRANSPORTS MILLEVILLE
1 - Licenses and options,Licence Utilisateur - 4 communications simultanées Illimité F/M France et 70 destinations,56.6,1.0,56.6,Incluant Softphone DOKO,2025-06-03 11:31:47,2025-06-03 11:32:57,440257,TRANSPORTS PHILIPPE GALLET
1 - Licenses and options,Licence Utilisateur - 4 communications simultanées Illimité F/M France et 70 destinations,10.0,5.0,50.0,,2025-06-02 16:42:00,2025-07-28 14:26:32,548545,TRANSPORTS ROSE XAVIER
1 - Licenses and options,Téléphonie Hébergée - Standard,5.0,1.0,5.0,,2025-06-02 16:42:00,2025-06-02 16:42:00,548545,TRANSPORTS ROSE XAVIER
3 - Access links,Cloud Firewall - VPN - Coeur de réseau MPLS,24.0,1.0,24.0,,2025-06-02 16:42:00,2025-06-02 16:42:00,548545,TRANSPORTS ROSE XAVIER
4 - Numbers and portabilities,Numéro Direct - SDA,0.7,7.0,4.9,,2025-07-28 14:26:32,2025-07-28 14:26:32,548545,TRANSPORTS ROSE XAVIER
8 - Various,Avantage Parc > 50 lignes,-84.45,1.0,-84.45,,2025-06-02 16:35:35,2025-06-05 13:39:57,523634,VADE SECURE
8 - Various,Remise S.V.I.,-10.0,1.0,-10.0,,2025-06-02 16:34:42,2025-06-02 16:34:42,496337,VEREECQUE PARCS ET JARDINS
7 - Mobile,Business Smartphone 5 Go,18.0,1.0,18.0,Fils,2025-06-26 10:37:56,2025-06-26 10:37:56,1539364,Xavier MILLON
8 - Various,Remise commerciale,-5.0,1.0,-5.0,,2025-06-02 16:32:17,2025-06-02 16:32:17,1539364,Xavier MILLON
8 - Various,Remise commerciale,-11.0,1.0,-11.0,,2025-06-26 10:37:56,2025-06-26 10:37:56,1539364,Xavier MILLON
